SystemsBiologyToIdentifyBiomar_DataDictionary_2022-05-26,,,,,,,,,,,,,,,,,
Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
v3_sign2,visit_3,,text,56. Signature,,,,,,,,,,,,,
v3_date2,visit_3,,text,57. Date,,,date_dmy,,,,,,,,,,
v3_bloodsam,visit_3,BLOOD SAMPLE COLLECTION,radio,58. Blood Sample Collected?,"1, Yes | 0, No",,,,,,,y,,,,,
v3_volsample,visit_3,,text,59. Volume of sample,,enter value to one decimal place. e.g. 00.0,number_1dp,,,,,,,,,,
v3_timecol,visit_3,,text,60. Time of collection,,,time,,,,,,,,,,
v3_visit_id,visit_3,,text,61. Visit ID,,please confirm Visit ID is accurate,,,,,,y,,,,,
v3_rectalswabtaken,visit_3,RECTAL SWAB,radio,62. Rectal Swab taken,"1, Yes | 0, No",,,,,,,,,,,,
v3_swabtime,visit_3,,text,63. Time swab taken,,,datetime_dmy,,,,[q72_rectalswabtaken_visit2] = '1',,,,,,
v3_notes2,visit_3,,notes,64. Notes,,,,,,,,,,,,,
v3_activities,visit_3,VISIT ACTIVITIES COMPLETED,radio,65. Have all Visit 3 activities been completed,"1, Yes | 0, No",,,,,,,,,,,,
v3_activities_no,visit_3,,notes,"66. If no, specify",,,,,,,,,,,,,
v3_nursename3,visit_3,,text,67. Name of physician or nurse,,,,,,,,,,,,,
v3_sign3,visit_3,,text,68. Signature,,,,,,,,,,,,,
v3_visitcompletedate,visit_3,,text,69. Date form completed,,,date_dmy,,,,,,,,,,
imm1_dov,immunization_1,,text,1. Date of visit,,Date (DD/MM/YYYY),date_dmy,,,y,,,,,,,
imm1_weight,immunization_1,VITAL SIGNS,text,2. Weight (grams),,,,,,,,,,,,,
imm1_length,immunization_1,,text,3. Length (cm),,,number,45,70,,,,,,,,
imm1_temp,immunization_1,,text,4. Temperature (Celsius),,,number_1dp,36.5,37.7,,,,,,,,
imm1_resp,immunization_1,,text,5. Respiratory rate (cycles/min),,,number,30,55,,,,,,,,
imm1_hr,immunization_1,,text,6. Heart rate (beats/min),,,number,90,150,,,,,,,,
imm1_headcirc,immunization_1,,text,7. Head circumference (cm),,,number,32,45,,,,,,,,
imm1_comments,immunization_1,,notes,8. Comments,,,,,,,,,,,,,
imm1_nursename,immunization_1,,text,9. Name of physician or nurse,,,,,,,,,,,,,
imm1_mdsign,immunization_1,,file,10. Signature,,,signature,,,,,,,,,,
imm1_datecompleted,immunization_1,,text,11. Date form completed,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm1_hadae,immunization_1,ADVERSE EVENTS,radio,12. Have there been any adverse events since last visit?,"1, Yes | 0, No",,,,,,,,,,,,
imm1_ae1,immunization_1,,text,13. Event 1 description,,,,,,,,y,,,,,
imm1_ae1severity,immunization_1,,radio,14. Event 1 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
imm1_ae1startdate,immunization_1,,text,15. Event 1 start date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm1_ae1enddate,immunization_1,,text,16. Event 1 end date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm1_ae2,immunization_1,,text,17. Event 2 description,,,,,,,,,,,,,
imm1_ae2severity,immunization_1,,radio,18. Event 2 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
imm1_ae2startdate,immunization_1,,text,19. Event 2 start date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm1_ae2enddate,immunization_1,,text,20. Event 2 end date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm1_ae3,immunization_1,,text,21. Event 3 description,,,,,,,,,,,,,
imm1_ae3severity,immunization_1,,radio,22. Event 3 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
imm1_ae3startdate,immunization_1,,text,23. Event 3 start date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm1_ae3enddate,immunization_1,,text,24. Event 3 end date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm1_ae4,immunization_1,,text,25. Event 4 description,,,,,,,,,,,,,
imm1_ae4severity,immunization_1,,radio,26. Event 4 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
imm1_ae4startdate,immunization_1,,text,27. Event 4 start date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm1_ae4enddate,immunization_1,,text,28. Event 4 end date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm1_prevmeds,immunization_1,MEDICATIONS,radio,29. Has subject been given any medications,"1, Yes | 0, No",,,,,,,,,,,,
imm1_prevmed1,immunization_1,,text,30. Medication 1,,,,,,,,,,,,,
imm1_med1startdate,immunization_1,,text,31. Start date of Medication 1 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm1_ongoingmed1,immunization_1,,radio,32. Specify if ongoing with Medication 1 intake,"1, Yes | 0, No",,,,,,,,,,,,
imm1_med1enddate,immunization_1,,text,33. End date of Medication 1 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm1_prevmed2,immunization_1,,text,34. Medication 2,,,,,,,,,,,,,
imm1_med2startdate,immunization_1,,text,35. Start date of Medication 2 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm1_ongoingmed2,immunization_1,,radio,36. Specify if ongoing with Medication 2 intake,"1, Yes | 0, No",,,,,,,,,,,,
imm1_med2enddate,immunization_1,,text,37. End date of Medication 2 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm1_prevmed3,immunization_1,,text,38. Medication 3,,,,,,,,,,,,,
imm1_med3startdate,immunization_1,,text,39. Start date of Medication 3 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm1_ongoingmed3,immunization_1,,radio,40. Specify if ongoing with Medication 3 intake,"1, Yes | 0, No",,,,,,,,,,,,
imm1_med3enddate,immunization_1,,text,41. End date of Medication 3 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm1_prevmed4,immunization_1,,text,42. Medication 4,,,,,,,,,,,,,
imm1_med4startdate,immunization_1,,text,43. Start date of Medication 4 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm1_ongoingmed4,immunization_1,,radio,44. Specify if ongoing with Medication 4 intake,"1, Yes | 0, No",,,,,,,,,,,,
imm1_med4enddate,immunization_1,,text,45. End date of Medication 4 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm1_breastfed,immunization_1,,radio,46. Is the infant breast feeding,"1, Yes | 0, No",,,,,,,,,,,,
imm1_feedingdetails,immunization_1,,notes,47. Please provide details,,,,,,,,,,,,,
imm1_inclusionmet,immunization_1,INCLUSION CRITERIA,radio,48. Does subject meet inclusion criteria?,"1, Yes | 0, No",,,,,,,,,,,,
imm1_inclusionnotmet,immunization_1,,text,49.Number of inclusion criterion (criteria) not met,,"If multiple criteria met, enter all numbers and separate with comma(s)",,,,,,,,,,,
imm1_inclusiondetails,immunization_1,,notes,50. Details for inclusion criterion (criteria) not met,,,,,,,,,,,,,
imm1_exclusionprevvac,immunization_1,EXCLUSION CRITERIA,radio,51. Previous vaccination with any EPI vaccine other than those administered by the study team,"1, Yes | 0, No",,,,,,,,,,,,
imm1_excrimet,immunization_1,,radio,52. Does subject meet the exclusion criteria?,"1, Yes | 0, No",,,,,,,,,,,,
imm1_excrinum,immunization_1,,text,53. Number of exclusion criterion (criteria) met,,"(If multiple criteria met, enter all number and separate with a comma(s))",number,,,,,,,,,,
imm1_detailsrexcri,immunization_1,,notes,54. Details of exclusion criterion/criteria met,,,,,,,,,,,,,
imm1_nursename2,immunization_1,,text,55. Name of physician or nurse,,,,,,,,,,,,,
imm1_sign2,immunization_1,,text,56. Signature,,,,,,,,,,,,,
imm1_date2,immunization_1,,text,57. Date,,,date_dmy,,,,,,,,,,
imm1_pentvac,immunization_1,VACCINATIONS,radio,58. Pentavalent vaccine given,"1, Yes | 0, No",,,,,,,,,,,,
imm1_pentvac_time,immunization_1,,text,59. Time vaccination given,,,datetime_dmy,,,,,,,,,,
imm1_pcv,immunization_1,,text,60. PCV 13 given,"1, Yes | 0, No",,,,,,,,,,,,
imm1_pcv_time,immunization_1,,text,61. Time PCV 13 given,,,datetime_dmy,,,,,,,,,,
imm1_rotavirus,immunization_1,,radio,62. Rotavirus vaccine given,"1, Yes | 0, No",,,,,,,,,,,,
imm1_rotavirus_time,immunization_1,,text,63. Time rotavirus vaccine given,,,datetime_dmy,,,,,,,,,,
imm1_opv,immunization_1,,radio,64. OPV given,"1, Yes | 0, No",,,,,,,,,,,,
imm1_opv_time,immunization_1,,text,65. Time OPV given,,,datetime_dmy,,,,,,,,,,
imm1_vacnotes,immunization_1,,notes,66. Notes,,,,,,,,,,,,,
imm1_activities,immunization_1,VISIT ACTIVITIES COMPLETED,radio,67. Have all Imm1 activities been completed,"1, Yes | 0, No",,,,,,,,,,,,
imm1_activities_no,immunization_1,,notes,"68. If no, specify",,,,,,,,,,,,,
imm1_nursename3,immunization_1,,text,69. Name of physician or nurse,,,,,,,,,,,,,
imm1_sign3,immunization_1,,text,70. Signature,,,,,,,,,,,,,
imm1_visitcompletedate,immunization_1,,text,71. Date form completed,,,date_dmy,,,,,,,,,,
imm2_dov,immunization_2,,text,1. Date of visit,,Date (DD/MM/YYYY),date_dmy,,,y,,,,,,,
imm2_weight,immunization_2,VITAL SIGNS,text,2. Weight (grams),,,,,,,,,,,,,
imm2_length,immunization_2,,text,3. Length (cm),,,number,45,70,,,,,,,,
imm2_temp,immunization_2,,text,4. Temperature (Celsius),,,number_1dp,36.5,37.7,,,,,,,,
imm2_resp,immunization_2,,text,5. Respiratory rate (cycles/min),,,number,30,55,,,,,,,,
imm2_hr,immunization_2,,text,6. Heart rate (beats/min),,,number,90,150,,,,,,,,
imm2_headcirc,immunization_2,,text,7. Head circumference (cm),,,number,32,45,,,,,,,,
imm2_comments,immunization_2,,notes,8. Comments,,,,,,,,,,,,,
imm2_nursename,immunization_2,,text,9. Name of physician or nurse,,,,,,,,,,,,,
imm2_sign,immunization_2,,file,10. Signature,,,signature,,,,,,,,,,
imm2_datecompleted,immunization_2,,text,11. Date form completed,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm2_hadae,immunization_2,ADVERSE EVENTS,radio,12. Have there been any adverse events since last visit?,"1, Yes | 0, No",,,,,,,,,,,,
imm2_ae1,immunization_2,,text,13. Event 1 description,,,,,,,,y,,,,,
imm2_ae1severity,immunization_2,,radio,14. Event 1 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
imm2_ae1startdate,immunization_2,,text,15. Event 1 start date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm2_ae1enddate,immunization_2,,text,16. Event 1 end date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm2_ae2,immunization_2,,text,17. Event 2 description,,,,,,,,,,,,,
imm2_ae2severity,immunization_2,,radio,18. Event 2 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
imm2_ae2startdate,immunization_2,,text,19. Event 2 start date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm2_ae2enddate,immunization_2,,text,20. Event 2 end date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm2_ae3,immunization_2,,text,21. Event 3 description,,,,,,,,,,,,,
imm2_ae3severity,immunization_2,,radio,22. Event 3 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
imm2_ae3startdate,immunization_2,,text,23. Event 3 start date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm2_ae3enddate,immunization_2,,text,24. Event 3 end date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm2_ae4,immunization_2,,text,25. Event 4 description,,,,,,,,,,,,,
imm2_ae4severity,immunization_2,,radio,26. Event 4 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
imm2_ae4startdate,immunization_2,,text,27. Event 4 start date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm2_ae4enddate,immunization_2,,text,28. Event 4 end date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm2_prevmeds,immunization_2,MEDICATIONS,radio,29. Has subject been given any medications,"1, Yes | 0, No",,,,,,,,,,,,
imm2_prevmed1,immunization_2,,text,30. Medication 1,,,,,,,,,,,,,
imm2_med1startdate,immunization_2,,text,31. Start date of Medication 1 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm2_ongoingmed1,immunization_2,,radio,32. Specify if ongoing with Medication 1 intake,"1, Yes | 0, No",,,,,,,,,,,,
imm2_med1enddate,immunization_2,,text,33. End date of Medication 1 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm2_prevmed2,immunization_2,,text,34. Medication 2,,,,,,,,,,,,,
imm2_med2startdate,immunization_2,,text,35. Start date of Medication 2 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm2_ongoingmed2,immunization_2,,radio,36. Specify if ongoing with Medication 2 intake,"1, Yes | 0, No",,,,,,,,,,,,
imm2_med2enddate,immunization_2,,text,37. End date of Medication 2 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm2_prevmed3,immunization_2,,text,38. Medication 3,,,,,,,,,,,,,
imm2_med3startdate,immunization_2,,text,39. Start date of Medication 3 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm2_ongoingmed3,immunization_2,,radio,40. Specify if ongoing with Medication 3 intake,"1, Yes | 0, No",,,,,,,,,,,,
imm2_med3enddate,immunization_2,,text,41. End date of Medication 3 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm2_prevmed4,immunization_2,,text,42. Medication 4,,,,,,,,,,,,,
imm2_med4startdate,immunization_2,,text,43. Start date of Medication 4 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm2_ongoingmed4,immunization_2,,radio,44. Specify if ongoing with Medication 4 intake,"1, Yes | 0, No",,,,,,,,,,,,
imm2_med4enddate,immunization_2,,text,45. End date of Medication 4 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm2_breastfed,immunization_2,,radio,46. Is the infant breast feeding,"1, Yes | 0, No",,,,,,,,,,,,
imm2_feedingdetails,immunization_2,,notes,47. Please provide details,,,,,,,,,,,,,
imm2_inclusionmet,immunization_2,INCLUSION CRITERIA,radio,48. Does subject meet inclusion criteria?,"1, Yes | 0, No",,,,,,,,,,,,
imm2_inclusionnotmet,immunization_2,,text,49.Number of inclusion criterion (criteria) not met,,"If multiple criteria met, enter all numbers and separate with comma(s)",,,,,,,,,,,
imm2_inclusiondetails,immunization_2,,notes,50. Details for inclusion criterion (criteria) not met,,,,,,,,,,,,,
imm2_exclusionprevvac,immunization_2,EXCLUSION CRITERIA,radio,51. Previous vaccination with any EPI vaccine other than those administered by the study team,"1, Yes | 0, No",,,,,,,,,,,,
imm2_excrimet,immunization_2,,radio,52. Does subject meet the exclusion criteria?,"1, Yes | 0, No",,,,,,,,,,,,
imm2_excrinum,immunization_2,,text,53. Number of exclusion criterion (criteria) met,,"(If multiple criteria met, enter all number and separate with a comma(s))",number,,,,,,,,,,
imm2_detailsrexcri,immunization_2,,notes,54. Details of exclusion criterion/criteria met,,,,,,,,,,,,,
imm2_nursename2,immunization_2,,text,55. Name of physician or nurse,,,,,,,,,,,,,
imm2_sign2,immunization_2,,text,56. Signature,,,,,,,,,,,,,
imm2_date2,immunization_2,,text,57. Date,,,date_dmy,,,,,,,,,,
imm2_pentvac,immunization_2,VACCINATIONS,radio,58. Pentavalent vaccine given,"1, Yes | 0, No",,,,,,,,,,,,
imm2_pentvac_time,immunization_2,,text,59. Time vaccination given,,,datetime_dmy,,,,,,,,,,
imm2_pcv,immunization_2,,text,60. PCV 13 given,"1, Yes | 0, No",,,,,,,,,,,,
imm2_pcv_time,immunization_2,,text,61. Time PCV 13 given,,,datetime_dmy,,,,,,,,,,
imm2_rotavirus,immunization_2,,radio,62. Rotavirus vaccine given,"1, Yes | 0, No",,,,,,,,,,,,
imm2_rotavirus_time,immunization_2,,text,63. Time rotavirus vaccine given,,,datetime_dmy,,,,,,,,,,
imm2_opv,immunization_2,,radio,64. OPV given,"1, Yes | 0, No",,,,,,,,,,,,
imm2_opv_time,immunization_2,,text,65. Time OPV given,,,datetime_dmy,,,,,,,,,,
imm2_vacnotes,immunization_2,,notes,66. Notes,,,,,,,,,,,,,
imm2_activities,immunization_2,VISIT ACTIVITIES COMPLETED,radio,67. Have all imm2 activities been completed,"1, Yes | 0, No",,,,,,,,,,,,
imm2_activities_no,immunization_2,,notes,"68. If no, specify",,,,,,,,,,,,,
imm2_nursename3,immunization_2,,text,69. Name of nurse or physician,,,,,,,,,,,,,
imm2_sign3,immunization_2,,text,70. Signature,,,,,,,,,,,,,
imm2_visitcompletedate,immunization_2,,text,71. Date form completed,,,date_dmy,,,,,,,,,,
imm3_dov,immunization_3,,text,1. Date of visit,,Date (DD/MM/YYYY),date_dmy,,,y,,,,,,,
imm3_weight,immunization_3,VITAL SIGNS,text,2. Weight (grams),,,,,,,,,,,,,
imm3_length,immunization_3,,text,3. Length (cm),,,number,45,70,,,,,,,,
imm3_temp,immunization_3,,text,4. Temperature (Celsius),,,number_1dp,36.5,37.7,,,,,,,,
imm3_resp,immunization_3,,text,5. Respiratory rate (cycles/min),,,number,30,55,,,,,,,,
imm3_hr,immunization_3,,text,6. Heart rate (beats/min),,,number,90,150,,,,,,,,
imm3_headcirc,immunization_3,,text,7. Head circumference (cm),,,number,32,45,,,,,,,,
imm3_comments,immunization_3,,notes,8. Comments,,,,,,,,,,,,,
imm3_nursename,immunization_3,,text,9. Name of physician or nurse,,,,,,,,,,,,,
imm3_sign,immunization_3,,file,10.  Signature,,,signature,,,,,,,,,,
imm3_datecompleted,immunization_3,,text,11. Date form completed,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm3_hadae,immunization_3,ADVERSE EVENTS,radio,12. Have there been any adverse events since last visit?,"1, Yes | 0, No",,,,,,,,,,,,
imm3_ae1,immunization_3,,text,13. Event 1 description,,,,,,,,y,,,,,
imm3_ae1severity,immunization_3,,radio,14. Event 1 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
imm3_ae1startdate,immunization_3,,text,15. Event 1 start date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm3_ae1enddate,immunization_3,,text,16. Event 1 end date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm3_ae2,immunization_3,,text,17. Event 2 description,,,,,,,,,,,,,
imm3_ae2severity,immunization_3,,radio,18. Event 2 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
imm3_ae2startdate,immunization_3,,text,19. Event 2 start date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm3_ae2enddate,immunization_3,,text,20. Event 2 end date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm3_ae3,immunization_3,,text,21. Event 3 description,,,,,,,,,,,,,
imm3_ae3severity,immunization_3,,radio,22. Event 3 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
imm3_ae3startdate,immunization_3,,text,23. Event 3 start date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm3_ae3enddate,immunization_3,,text,24. Event 3 end date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm3_ae4,immunization_3,,text,25. Event 4 description,,,,,,,,,,,,,
imm3_ae4severity,immunization_3,,radio,26. Event 4 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
imm3_ae4startdate,immunization_3,,text,27. Event 4 start date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm3_ae4enddate,immunization_3,,text,28. Event 4 end date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm3_prevmeds,immunization_3,MEDICATIONS,radio,29. Has subject been given any medications,"1, Yes | 0, No",,,,,,,,,,,,
imm3_prevmed1,immunization_3,,text,30. Medication 1,,,,,,,,,,,,,
imm3_med1startdate,immunization_3,,text,31. Start date of Medication 1 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm3_ongoingmed1,immunization_3,,radio,32. Specify if ongoing with Medication 1 intake,"1, Yes | 0, No",,,,,,,,,,,,
imm3_med1enddate,immunization_3,,text,33. End date of Medication 1 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm3_prevmed2,immunization_3,,text,34. Medication 2,,,,,,,,,,,,,
imm3_med2startdate,immunization_3,,text,35. Start date of Medication 2 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm3_ongoingmed2,immunization_3,,radio,36. Specify if ongoing with Medication 2 intake,"1, Yes | 0, No",,,,,,,,,,,,
imm3_med2enddate,immunization_3,,text,37. End date of Medication 2 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm3_prevmed3,immunization_3,,text,38. Medication 3,,,,,,,,,,,,,
imm3_med3startdate,immunization_3,,text,39. Start date of Medication 3 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm3_ongoingmed3,immunization_3,,radio,40. Specify if ongoing with Medication 3 intake,"1, Yes | 0, No",,,,,,,,,,,,
imm3_med3enddate,immunization_3,,text,41. End date of Medication 3 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm3_prevmed4,immunization_3,,text,42. Medication 4,,,,,,,,,,,,,
imm3_med4startdate,immunization_3,,text,43. Start date of Medication 4 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm3_ongoingmed4,immunization_3,,radio,44. Specify if ongoing with Medication 4 intake,"1, Yes | 0, No",,,,,,,,,,,,
imm3_med4enddate,immunization_3,,text,45. End date of Medication 4 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
imm3_breastfed,immunization_3,,radio,46. Is the infant breast feeding,"1, Yes | 0, No",,,,,,,,,,,,
imm3_feedingdetails,immunization_3,,notes,47. Please provide details,,,,,,,,,,,,,
imm3_inclusionmet,immunization_3,INCLUSION CRITERIA,radio,48. Does subject meet inclusion criteria?,"1, Yes | 0, No",,,,,,,,,,,,
imm3_inclusionnotmet,immunization_3,,text,49.Number of inclusion criterion (criteria) not met,,"If multiple criteria met, enter all numbers and separate with comma(s)",,,,,,,,,,,
imm3_inclusiondetails,immunization_3,,notes,50. Details for inclusion criterion (criteria) not met,,,,,,,,,,,,,
imm3_exclusionprevvac,immunization_3,EXCLUSION CRITERIA,radio,51. Previous vaccination with any EPI vaccine other than those administered by the study team,"1, Yes | 0, No",,,,,,,,,,,,
imm3_excrimet,immunization_3,,radio,52. Does subject meet the exclusion criteria?,"1, Yes | 0, No",,,,,,,,,,,,
imm3_excrinum,immunization_3,,text,53. Number of exclusion criterion (criteria) met,,"(If multiple criteria met, enter all number and separate with a comma(s))",number,,,,,,,,,,
imm3_detailsrexcri,immunization_3,,notes,54. Details of exclusion criterion/criteria met,,,,,,,,,,,,,
imm3_nursename2,immunization_3,,text,55. Name of physician or nurse,,,,,,,,,,,,,
imm3_sign2,immunization_3,,text,56. Signature,,,,,,,,,,,,,
imm3_date2,immunization_3,,text,57. Date,,,date_dmy,,,,,,,,,,
imm3_pentvac,immunization_3,VACCINATIONS,radio,58. Pentavalent vaccine given,"1, Yes | 0, No",,,,,,,,,,,,
imm3_pentvac_time,immunization_3,,text,59. Time vaccination given,,,datetime_dmy,,,,,,,,,,
imm3_pcv,immunization_3,,text,60. PCV 13 given,"1, Yes | 0, No",,,,,,,,,,,,
imm3_pcv_time,immunization_3,,text,61. Time PCV 13 given,,,datetime_dmy,,,,,,,,,,
imm3_rotavirus,immunization_3,,radio,62. Rotavirus vaccine given,"1, Yes | 0, No",,,,,,,,,,,,
imm3_rotavirus_time,immunization_3,,text,63. Time rotavirus vaccine given,,,datetime_dmy,,,,,,,,,,
imm3_opv,immunization_3,,radio,64. OPV given,"1, Yes | 0, No",,,,,,,,,,,,
imm3_opv_time,immunization_3,,text,65. Time OPV given,,,datetime_dmy,,,,,,,,,,
imm3_vacnotes,immunization_3,,notes,66. Notes,,,,,,,,,,,,,
imm3_activities,immunization_3,VISIT ACTIVITIES COMPLETED,radio,67. Have all imm3 activities been completed,"1, Yes | 0, No",,,,,,,,,,,,
imm3_activities_no,immunization_3,,notes,"68. If no, specify",,,,,,,,,,,,,
imm3_nursename3,immunization_3,,text,69. Name of nurse or physician,,,,,,,,,,,,,
imm3_sign3,immunization_3,,text,70. Signature,,,,,,,,,,,,,
imm3_visitcompletedate,immunization_3,,text,71. Date form completed,,,date_dmy,,,,,,,,,,
v4_dov,visit_4,,text,1. Date of visit,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v4_weight,visit_4,VITAL SIGNS,text,2. Weight (g),,,integer,2500,9000,,,,,,,,
v4_length,visit_4,,text,3. Length (cm),,,,,,,,,,,,,
v4_temp,visit_4,,text,4. Temperature (Celsius),,Please enter value to one decimal place (e.g. 00.0),number_1dp,,,,,,,,,,
v4_resprate,visit_4,,text,5. Respiratory rate (cycles/min),,,integer,30,55,,,,,,,,
v4_heartrate,visit_4,,text,6. Heart rate (beats/minute),,,number,90,150,,,,,,,,
v4_headcirc,visit_4,,text,7. Head circumference (cm),,,,,,,,,,,,,
v4_comments,visit_4,,notes,8. Comments,,,,,,,,,,,,,
v4_nursename,visit_4,,text,9. Name of physician or nurse,,,,,,,,,,,,,
v4_sign,visit_4,,text,10. Signature,,,,,,,,,,,,,
v4_date,visit_4,,text,11. Date,,,date_dmy,,,,,,,,,,
v4_hadae,visit_4,ADVERSE EVENTS,radio,12. Have there been any adverse events since last visit?,"1, Yes | 0, No",,,,,,,,,,,,
v4_ae1,visit_4,,text,13. Event 1 description,,,,,,,,y,,,,,
v4_ae1severity,visit_4,,radio,14. Event 1 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
v4_ae1startdate,visit_4,,text,15. Event 1 start date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v4_ae1enddate,visit_4,,text,16. Event 1 end date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v4_ae2,visit_4,,text,17. Event 2 description,,,,,,,,,,,,,
v4_ae2severity,visit_4,,radio,18. Event 2 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
v4_ae2startdate,visit_4,,text,19. Event 2 start date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v4_ae2enddate,visit_4,,text,20. Event 2 end date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v4_ae3,visit_4,,text,21. Event 3 description,,,,,,,,,,,,,
v4_ae3severity,visit_4,,radio,22. Event 3 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
v4_ae3startdate,visit_4,,text,23. Event 3 start date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v4_ae3enddate,visit_4,,text,24. Event 3 end date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v4_ae4,visit_4,,text,25. Event 4 description,,,,,,,,,,,,,
v4_ae4severity,visit_4,,radio,26. Event 4 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
v4_ae4startdate,visit_4,,text,27. Event 4 start date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v4_ae4enddate,visit_4,,text,28. Event 4 end date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
